#token    category
I think I may have just wickedly sunburned myself .    non-intent
I get to go see the lion king tonight .. How exciting ....    event
I think I'm gonna skip sports class today and join mr. hamid's class after it .    event
i think im gonna watch a little more babylon 5 then do some art .... its a pretty awesome show after all    event
I just don't understand things . Why it's always me . Why everything happens to me . You do things too but I have to bite my tongue . Stupid ...    non-intent
I can't believe she would do this to me , I really can't or at least don't want to    non-intent
I have the new IPhone for my birthday . And I must say it's AWESOME !! Uhmmm . Yeah , it's nice    non-intent
I might be going to the festival again later . Hopefully .    event
I am going to go get some ice cream . Then go to Islip to visit my favorite vintage shop , Perennial Clothing .    food
I am going to enjoy my week-end after having worked in my garden ...    event
I hope you call tonight ... If you don't i might just die ... I love you with all my heart ... Don't disappoint me please    non-intent
I go to harry potter again in cinema because it was so great    event
I wanna be a Model soo badd ! hahaa a Dancingg Model . I'd be in Good Shape ! lol    career
I really wanna paint my nails .. but I have this pretty manicure going now xD    goods
I don't know if I want to read manga or play Ultimate Ninja 2 or 3 . Hmmmm ..    event
I must say that I liked the awards ... but seriously no one represented his dancing !    non-intent
I really kinda like the phrase " Barack the vote " , I'm wearing the tshirt right now ...    non-intent
I made a smoothie with fruit & spinach , put too much spinach blaggh . I need iron somehow I don't eat beef .    food
I need to clear my head . night    trifle
I wanna baby sugar glider !    goods
I wanna be in Mexico RIGHT NOW    travel
i think i added u a long time ago ... u in my contacts    non-intent
I only ask this because I wanted to show that us authors war with our publishers constantly . You would have to be an author to understand .    non-intent
I really do not care about the manny and papi report .. It was part of the game during that era .. the faster ppl realize that the better    non-intent
I may have just about found a way to watch the Ashes from the US ...    non-intent
I wanna rock'n roll all night , and party every day ! ;-) The party is going to start !!!!    event
I think I have a lot more to do to get ready for my trip up the east coast than I realize !! ahhhhhh !!!    travel
I want some Thumbs Up french toast ... yummm !    food
I need to be more specific when I get my hair cut .    goods
I should punch that old guy in the face !    trifle
I need a drink . I haven't needed a drink this bad in 12 years and 10 months .    food
i think i need a second job just to support my awful spending habits .    career
I know they say you can't please everyone but sometimes I think you can't please nobody - period .    non-intent
I just learned how to draw Rey Mysterio and I must say that my drawing of Rey turned out great !!!    non-intent
I need more music on my phone ..    event
I think I have a problem , can't believe I have been watching the Spain/US soccer match this long .    non-intent
I really want to have a tea party and wear fancy clothes and gloves w/ my chick friends ... and have the party done in Hawaii . Ha ha .    event
i wanna go home ! Lol damn kids leave    trifle
I really should work on my project now ...    career
I wanna move to Montreal . LOLOLOL .    travel
I don't love you but I might like you a little bit    trifle
I know what I have to do ...    non-intent
I wanna travel the world ! I wanna help people ! I wanna do something with my life ! Lord help me !    travel
I really want to party tonight with a few close friends ..    event
I need a second job if anybodys hiring in port huron , michigan    career
i could really go for a new Outkast album right now !    event
I need food ! But stuck at the printers babysitting the copier . This is so not in my job description !    food
I really can't believe Michael Schumacher is gonna be racing again . Then again I don't blame him ... but surely he's past his prime ?!    non-intent
I need more chocolate ...!!! having problems to decide the correct way ...    food
i think i deserve a verified account on Twitter now since i qot so many fans lmaaaoooo    event
I need to stop reading books about Madrid ... They make me miss Spain soooo much !!    travel
I wanna go to a horse track race ... and bet on some horses who's down ?...... just one of the things I want to be able to say " I did that " lol    event
I need to go to the spa and get a full body massage . I'm so tense , tight , and uncomfortable right now !    goods
I wanna go to paris now ! because i want go shopping    travel
i really need to get a tattoo of screaming transformer Michael Jackson from moonwalker .    goods
I wanna become an FBI agent    career
I think I kinda understand how addicting twitter can get . =)    non-intent
I want to travel .. But me a plane ticket ! Haha    travel
I have to UNfollow you guys . Can't keep up anymore .    trifle
I really do love will and grace .    non-intent
I need a job . I have no money    career
i want nobody nobody but chu ! * points *    non-intent
I want to see Street Dreams cuz ... I looove Rob Dyrdek !    event
I wish I can duplicate myself so I can be in two places .    trifle
I wanna learn the dance to BAD by MICHAEL JACKSON haha    event
I hope I didn't miss Blake Lewis !    trifle
I hate the question " soo what's new with you " idk why I just don't like it    non-intent
i wanna do something spontaneous . right now . tonight .    trifle
I try to resist eating badness but how can you resist when the lunch room table is covered in chocolate , cake , cookies and fudge ?!?    food
I can move my body . You know i like to party(8 ) -- dude this song is like a drug ... thank you meester for making me a addict !    event
I want a vivid imagination .... =-) where the colors are brighter than the sun !!!    trifle
I think I'm going to cry .    trifle
i need to get a shower and then go to band practice . any suggestions for songs ppl ? Also , i been listening to the kinks , such a good band .    event
I need Chocolate chip cookies . I hear they heal all , even Franken-bellyboos .    food
I can finally get my hair cut on friday thank you jesus !    goods
I forgot I had to take the bus to work . now I'm running late . FML .    non-intent
i need an adaptor that turns 240 volts to 120 volts . help ?    goods
I want an icee float .... yummmmm !    food
I just had to take a pic or two of this madness    non-intent
I had the sickest dream ever ! & I need to tell someone before I forget . lol    trifle
I just finished my homework & now I am gonna treat myself to some icecream , watch a CSI epi then hit the hay . Nite twitter !    food
I have to roll with the punches with this one .....    non-intent
I really have to muck out my office to make room for the stuff I'll be getting at next week's sales conference . To Heffer's first today .    trifle
I need another JB concert !!!!!    event
I need a ride to get a new battery    goods
I may love traveling in Italy , but when I've left , I don't expect to bring the time table delays with me .    travel
i had to move to Paris to appreciate the south of France ... the fun , the sun , the beach ...    travel
I still wanna escape to Russia .    travel
I hate it that im under 18 . i cant do what i want and have to do stupid things because my parents dont want to let me grow up    non-intent
I need to go back to sleeeep    trifle
I am looking at my feet and thinking how I really have to take some time and get a pedicure soon !    goods
I need a new Walkman with a LOT more memory ! Don't have the money , luckily Sarah said she would lend me it =P    goods
I need a big breakfast or a slice of pumpkin bread from Starbucks . Raise your hand if you deliver .    food
I think I could live in Florida ...    travel
I could never live in Atlanta . Nice place to visit ...    travel
I forgot you get your picture taken automatically when you enter a new York taxi . I forgot to pose .    non-intent
I might by falling for you to say the least And our differences make us beautiful . We’ll play Beauty and the beast "    non-intent
I mean , I barely understand the language but I can still " hear " exactly the words they'd originally use . I'm familiar with the genres .    non-intent
I need not be thinking bout him this early in the morning    trifle
I really need a job . Damn it !    career
I gotta buy me some damned Transformers tickets this weekend maybe .    goods
I just almost got hit by a bus !!! I would have been like the old lady from the waynes brothers lol    non-intent
I go to Tenerife tomorrow ... Although I am already burnt from this amazing England weather HAHA !    travel
I want to speed up time    trifle
I really need to get a job !    career
I am flying to florida in a week and have " acquired " a large number of book tokens , any good holiday reads I may have overlooked ?    travel
I think i wnt to get a second job    career
I had a lovely afternoon at the Endodontist and cannot wait until I can eat solid food . Just thought I would share .    non-intent
I tried to care , but you chose love    trifle
I gotta keep my mind off of you ...    trifle
I just want to see Harry potter . please    event
I havent tweeted about anything today so ill tweet about that . i havent tweeted anything today .    non-intent
i need a full time job . gona have a read & then hit the hay night twitter    career
I could go for a sundae right now . yumm !    food
I just got rid of 6 pairs of shoes and 8 purses ... voluntarily . I MUST be sick .    non-intent
I up and slightly grumpy . I want eggs , pancakes , and bacon . I'm gonna make it .    food
I slept for a long time . Auuugh . I need a shower .    trifle
I thought I would have something done so I can watch True Blood with no stress ... NOT !    event
I sometimes think that man , in creating God , underestimated our own ability .    non-intent
I love Coldplay's Billie Jean cover . I hope they release an official acoustic version or something .    event
I swear i dont need security I need FAN patrol    trifle
I need to go to the dr. .. wouldn't it suck if I have strep throat and my bday party is in 2 days ?!    goods
I never thought that I would be hearing of MJ dying anytime soon . I know that is all everyone is talking about , aren't you ?    non-intent
I really hate people    non-intent
I need some new tunes . Do you guys have any suggestions ?    event
I should finally get to see harry potter tomorrow . Finally !    event
I hereby declare I will provide cookies to the monster , whenever , and wherever she wants .    food
I think I may have exceeded my ' 5 a-day ' yesterday    non-intent
I just don't understand why . What's wrong with me .    non-intent
I will wait for you ! She said ! Endlessly !    non-intent
I think I need a break I'm forever the fucking bad guyyyyyyyy    trifle
I think I'm gonna explode !!!!    non-intent
I think I just picked fluorescent strawberry nail polish for my pedicure . Lol wut ?    goods
I think I will be preordering Windows 7 , it runs great on my Netbook !    goods
I need more direction in life .    trifle
I think I just walked through a ghost . #fb    non-intent
I want food . Might go get some chocolate .    food
I need a haircut . and new vans    goods
I need to down my coffee and leaavveee ! ahhh lost my keys .. Nooo    trifle
I don't understand this world .. I really Can't .. Do you have a reason for this happening ? <3 ****    non-intent
I wanna go to arizona right now . Anyone wanna help me go ?    travel
I gotta hang my hat ..    trifle
I am going to list everything here    trifle
I NEED A NEW LIFE !!!    trifle
I need 2 go 2 sleeeeep !!! What's wrong wit me !    trifle
I don't really care for summertime , it's too hot , but I must say , summer nights are awesome .    non-intent
I know you Know but I DON´T CARE !!!!!    non-intent
I swear I think the only women I have boned in SF were whores- good whores , mind you- but still I PAID for it    non-intent
I wanna go watch G.I. Joe . I bet it's better than Brüno !    event
I could tell that my parents hated me . My bath toys were a toaster and a radio .    non-intent
I just cant get into twitter    non-intent
I know you think im strong and i can handle anything but your wrong you couldnt be further from the truth    non-intent
I hate when I want something I cant have    non-intent
I wanna go to Egypt . Right now , hehe .    travel
I know what you meant . I think you do a good job promoting both Twitter & Fox News !    non-intent
I want to travel by train .    travel
I really need to learn python , because coding in python is tough when you've never really learned the language . however , it's compiling !    career
I need a makeover and lobotomy .    goods
I think they are going to replace my computer ...    non-intent
I need to read a book ... any suggestions ?    event
I think I tweet too much ... I really don't wana hit 2000 tweets b4 september lol ... Sometimes I don't even know I'm twitting lol    non-intent
I should have used my money for more fans instead of toys and comics . NOT looking forward to the heat this week . High 80s to the mid 90s ?!    goods
I am daydreaming about walking into citibank and closing my account with them . I will be firm , curt , and unwaivering . Never again .    non-intent
I need soup .... and maybe a grilled cheese sandwich .    food
I really hate those movie theater coke ads of kids thanking parents . Apparently a soda is the only hope a hispanic has to succeeding .    non-intent
I need summer work experience !    career
I am gonna go to the library soon    event
I just read something about Chinese food now guess what I want ( sigh )    non-intent
I am gonna have a sweet drivers tan !    goods
I honestly think I might be having a heart attack    trifle
I need to hit up the mall .    goods
i guess i'll remain into coffee for one more day .    food
I hope I get to move to italy then I would love the army    travel
i need a haircut . that said , this must be the most boring thing i've ever shared on twitter . yup . it is .    goods
I should be dying my hair right now ...    goods
I am ready to leave with nothing but memories of what i had ! I miss the way things use to be ! God please save me !    trifle
I wanna go to Hollywood for the rest of the day ....    travel
I need to do something wit this hair but I'm running out of ideas !!!    goods
I need a job , I need a job ! Does anyone want to give me a job ??    career
I want the rain to stop ! Need dry day to finish my ark .    trifle
I didn't think I'd be happy to be in California because I prefer cooler weather , but I am glad to miss Seattle's triple digit temperatures .    travel
I really wish I was going on a trip of some sort !    travel
I WILL MAKE MY WIFE LOVE DOGS !!!!    trifle
I will never learn ..    non-intent
I love getting pedicures . I need one !    goods
I don't know about you all , but I would never date my own cousin .    non-intent
I am tired hungry and cranky . Why did I think this was a good idea lol . I have only had a sandwich all day . I want pizza so bad .    food
I need a #coke ! Thirsty ...    food
I really have no problem going to eat or have a drink by myself . Why does everyone seem it is so strange . I enjoy it    food
i had to buy a hot comb to have some cool afro during MJ's prime . MJ the legend is gone    goods
I must be tired . I forgot about that lobster hand roll ... damn I hate to waste a good meal .... Those are the biz    non-intent
I want to be in the pool all day and stay within    event
I always wanted to be a go-go dancer for a day lmao ....    career
I must learn to like Twitter , I must learn to like Twitter , I must learn to like Twitter ... I'm trying !    trifle
I need coffee this morning ...    food
I think I forgot how to do it ...    non-intent
I think I need that nap seriously    trifle
I changed my twitter password and now I cant log into tweetdeck , any suggestions ? It says " ah wrong details " when I try to enter new info .    non-intent
I gotta wait til I get home tonight before I can download iPhone OS 3.0 ... DAMN IT !!    non-intent
I think it is safe to say that I will never be a Cat Lady . Thank god for that , at least .    trifle
I should know by now that my man Junior has got my back ...    non-intent
I need to make up an excuse to not wake up early tomorrow haha .    trifle
I met someone last night . We talked on the phone for four and a half hours . I havent been on the phone for more than an hour since I was 14 .    non-intent
I am so thirsty ! I need cold and flavored drinks !    food
I have to say , it's getting busier and busier in my part of town . But littleman's birthday is Saturday ! Whoo hoo !!    non-intent
I will be 33 tomorrow . Where did the years go ?    non-intent
i want to be a rock star !    career
I need to eat some food    food
I think I will have some Phở for lunch .    food
I applied for a ticket to Michael Jackson's memorial concert . Didn't know why , but I though I should just in case . #lameclaimstofame    event
I wanna be in Disneyland so bad !! <333    travel
I havnt tweeted in 2 days and all I have to say is ... MAYHEM is tomorrow get siked !    non-intent
I really like making/drinking these strawberry banana smoothies ! Yummmmm    food
I like to #squarespace it . Why ? Well all the cool kids are doing it . Don't you want to be cool too ?    non-intent
I am with DVR . Name the show that I must be recording .    non-intent
I am officially a Panadol addict with a lifetime record of 12 tablets in 4 days . I will never ever neglect sports again .    event
I want a boy with lips like morphine . I want a kiss that leaves me gasping . ( ;    trifle
I could go for some fresh pineapple . Or pineapple juice .    food
I will be at church camp this morning . Getting ready for Celebrate Recovery this afternoon . Prayers are being answered .    event
I want a big mansion and lots of kids .. also a full staff .    goods
i want a bull mastiff    goods
I could have any girl in the world but shawty I choose you I choose you    non-intent
i want tonight to end . please . im asking nicely =)    trifle
I need to stop being so defensive ...    trifle
i wanna be a rockstar !!!!!!!!!    career
I have to say the movie Hangover was pretty funny    non-intent
I need some chocolate milk    food
I electrical plug just exploded and I had to spray it with the fire extinguisher , I breathin alot of the fumes and now I am dizzy    non-intent
I want Mongolian BBQ with Korean tofu soup and ................. Tofu rolls .. YUMM !    food
I need a pedicure ! Maybe this weekend ? Hmmmm ...    goods
I really want some big warm chocolate chip cookies right about now ... the kind that melts n your mouth slowly ..    food
I think I just died from SHOCK !    non-intent
I would do as they say . Loosing is not an option for these guys . Army .    non-intent
I need to take a trip somewhere ... Any ideas ?    travel
I need to go pick up my portfolio . Hopefully these dudes offer me a job .    career
I just don't understand this whole " renew your license online " thing . How they gonna get me picture ??? I want a new one , by the way    non-intent
I need to talk to someone . My husband is taking my issue personally . I need to talk to someone else . ???????? God help ........    trifle
I need to go buy some fruit this afternoon . Here were are in the middle of summer and all I have are some ancient , mealy apples . It's wrong .    food
I had to go to hospital tonight , I had a bump on my leg and was hurting and red . They thought it was possible staff infection .    goods
I need food before I calapse ..    non-intent
I want to plan a trip !!!    travel
I think Ima walk around naked my house is empty    non-intent
I always wanted to b a bombero ! I was a reserve back in LA . Just waiting for them to start hiring .    career
I love to eat cheese doodles and lick off all the orange cheese off my fingers ... jus like heaven    food
I could really do with a trip to the Alliance Bakery on Division in Chicago . RIGHT NOW . Ooh . Those gorgeous sugar cookies they make . Yum .    travel
I wanna wreck my stockings in some jukebox dive . It's a Joni Mitchell kind of day today .    trifle
I really dont get this !    non-intent
I just want to be done with school but that seems impossible ..    career
I hope you keep your word tonight , cuz baby , you're all I wanna hear for the rest of this existence .    non-intent
I nvr knew i cud love someone soo much ..    non-intent
i think i might die from boredome ................... should i head to my cousins house ???...................... and kill his boredome too ?    non-intent
I really don't get this . I already have myspace and finally got on facebook , isn't this the same thing ?    non-intent
I need new hair . Think I night get some soon    goods
I wanna eat strawberry icecream ! Hummm ... It's delicious    food
I will refrain from touching my eyes , - wait , I have an itch on my nose . * scratch * - mouth and nose .    non-intent
I wanna go home right now I'm glad I'm taken off tomm    trifle
I love when people send me a request to join fansites . I havent been a fan since the mid 90's .    non-intent
I Get to hear ghost stories later ! ^^    trifle
I love to dance .. but I'm sooooo looking forward to my chiropractor appt !!    event
I saw The Proposal yesterday and I must say that it is the best chick flick I have seen in a very long time . I loved it !!!!!    non-intent
I have risen from my nap and I must say that it was quite energizing . What's up ? What's everybody getting into today ?    non-intent
I think Miley used to be prettier when she was little . But she's still pretty as ever . I wanna go to her concert , to see Metro Station too !    event
I just want to go horse back riding .    event
I might get a job soon .    career
I think I just heard Daddy cursing at the computer .    non-intent
I could use an iPhone #squarespace    goods
I will be home too late for anyone to drive me ! Will take taxi from ferry terminal ! Thanks tho !    non-intent
I have to remember to have no expectations today .    trifle
i hope i get a 2nd job soon    career
I really thnk they should have made a separate button on the 3GS .... it gets kindof anoying holding the home button for so long    non-intent
I should really get some sleeeep !    trifle
I want this summer to be a summer that I will always Remember ! So far I'm in the right track !    non-intent
I decided to make banana bread because the bananas have seem to be left to go mushy . I recycle them ! Making chocolate chip cookies , too .    food
I think they should fire David Letterman over tonight's Mark Sanford joke , whatever it turns out to be .    non-intent
I may have forgotten my keys , so am presently locked out the house . Still , nice day for it ...    non-intent
i have to study ! but i don't want to ! =(    career
I think I forgot where I live ...    non-intent
I may just sit and read all afternoon , this is nice .    event
I think I'll go fishing this weekend ...    event
I wanna go ice skating !!!    event
I have to get up early , damn it    trifle
I need to update my ipod before bus so I can go and be a geek in the library cos I've figured yet again ... I CANT WORK FROM HOME    goods
I just want to go back to my dreams ..    trifle
I really love these night world books . You should check them out .    goods
I want catfish ... And a strawberry shake ... And a nap ... Tuff luck .    food
i gotta get a new phone    goods
I must be the only Backstreet fan on the planet who could care less about Aaron right now .    non-intent
I just don't want to be one of those people who wake up one day and realize they're in love with their best friend .    trifle
i think i just made of ass out of myself !    non-intent
I need for this day to go as quickly as possible .    trifle
I want some cold stone ... Hint hint *    food
i just want to go on record and say paul's boutique is the best hip hop album of all time .    event
I have thrown out about fifteen bags of SHIT from my room . I am now clutter free !! I should have been featured in a tlc show or something .    non-intent
I think I just got my first camera ticket .    event
I think I wanna go watch " Funny People " when it comes out ...    event
I want to go to college .    career
I should have a show . I have great topics .    trifle
I could swear that was Chevy Chase jogging just now .    non-intent
I swear I cant win for losing !! What is it gonna take for me to recognize Real ?? A smack to the face !    non-intent
I kinda wanna go to the celebration of the lights tonight .    event
I love kissing . I could kiss for hours    trifle
I just want to run into the wide , comforting arms of ventrilo and forget about my classes . But I suppose that's one of the reasons I'm here .    event
i just wanna see him " ride that pony " lol    trifle
i really should be getting ready right now .. ahwell .    trifle
I think I'm going to go and watch a movie . Why , you say , would you start a movie at 1am ... I say , WHY NOT !    event
I need you God , give me strength    trifle
I really need to take up smoking ... Lol    trifle
I am so upset !! I just don't understand !!! And who is bryce dallas ?!    non-intent
i guess i'll go for a camping trip .. i rully need it ....    travel
I must take a relaxing shower    trifle
I need my hairs cut b4 the show on saturday thee end    goods
I love how the quiz can't spell Nosferatu . Now I wanna watch it ...    event
I must leave the house twice today and I'm not looking forward to it .    trifle
I really want to ! It sucks sooo bad . Im at goodwill right now I got the sickest stuff . I wish you were here .    trifle
I need a IT job as SQL Server DBA    career
I wanna drink chocolate milk , ooh I just love it !    food
I must learn to silence my laziness and distracted habits ! Lord cleanse my soul from these worldly things that I have given my heart to !    trifle
I just realized this is the first day of the second half of the year ... now looking back reflecting ... i havent done shit all year ...    non-intent
I have no idea what or how to do what I need to do / I need help    non-intent
I really didn't intend on tweeting this much tonite . Hope I wasn't too offensive .    non-intent
I must ready with the decision , God help    trifle
I think I'm gonna bake some cookies .    food
I need a mobile makeover ... mine's ugly .    goods
I SHOULD HAVE WATCHED BRIDEZILLA    non-intent
I know you can , I know you can , come mend it all    non-intent
i got to move a snake out of my backyard today and held it with a broom !!!!! awesome ! haha    non-intent
I knew i could talk to god and god just told me ! -courtney wilson    trifle
I could go for a beach day . Summer , let me know when that would be good for you this year    travel
I swear I clean my room every day and I'll wake up and it's messy again .. I just don't get it .    non-intent
I musta been an only child in a past life , cuz I really don't understand why everything can't be done my way . Well , at least 85% of the time    non-intent
I wanna sex in space    trifle
I ain't afraid to admit I will treat you like shit .. If u can't break my habit .. U just a nothin ass nigga .    non-intent
I need coffee ! I need coffee ! I need coffee !    food
I need more incomes .    career
I will go to high school soon . I am so freaky scared of it right now ...    career
I wannna gooo home , shower & be cool . ahahah    trifle
I am very thirsty . I wonder if I can have cocktails for lunch . I guess not .    food
I think I like the new yahoo home page , but I'm not yet sure if I'll go to it much    trifle
I should just put up the high school pic again and give everybody another great laugh ;)    trifle
I AM SO STUPIDDDDDDDDDDD ! I HATE ME ... ALL THE DAYS WAITING ... AND TODAY ! I REALLY HATE ME !    trifle
I realized I forgot to put in the curl cream for my hair . My hair looks like shit without anything in it . Wow . I'm never gonna forget again .    non-intent
I really hate my life right about now . Going to have another fun filled day at my lovely job tomorrow sooooo excited    trifle
I am ready to vacation in Canada fr the remainder of the summer .    travel
I am so going to Amsterdam falafel after work .    travel
I need another nap -____-    trifle
i think i figured out whats missing from my day .....    non-intent
I hate Macs . That's all I have to say .    non-intent
I wanna win millions and quit my job ....    career
i just cant find a program i understand to animate my fucking banner . bloody hell    non-intent
I really don't think anyone knows what's going on with MJ , other than he's been taken to hospital . I wouldn't believe Twitter on this one .    non-intent
i think i have this figured out . getting ready to watch back to the future 2 .    non-intent
I can go 4 some icecream right about now !    food
I NEED COFFE .................................. NOW !!!!!    food
I guess I have to go to the doctor tomorrow . Or at least my mom wants me to .    goods
I know you can be overwhelmed , and underwhelmed , but can you ever just be whelmed ? =) hahah    non-intent
i really do need to go to the gym ..... no matter what i need to get a good shape body ... go go go go go !!!!!! hwaiitiingg !!    event
I need Starbucks !! I hate living in Holland ..    food
i just don't think i can take it anymore .    non-intent
I just wanna be at the MCR show on my B-Day ( augustus 1 ) .. sure nobody will give me a ticket for the show and a ticket to fly !    event
I need a ticket to Italy ..... any good cheap websites I can check out ?    travel
i wanna get a tattoo that says " daddy " and the day he died . my mom thinks that would be cute .    goods
I really wish you could watch baseball year round    event
i have to pee =P ... and the toilet is about 20 ft too far away .. grr    trifle
I still need to count my blessings . It's hard sometimes ..    trifle
i would love to catch up with you - i love you magazine    trifle
I wanna go to the beach SO bad ...!! Swimming in the turquoise waters and lying on the sand is the best way to relieve stress ... ;)    travel
I think I need a cheese burger . Also I might try the beer shake .    food
I have to make a trip to Port Antonio right now ! It's a good thing they fixed the roads .    travel
I think I will hit up hot yoga tonight . Need to sweat out some tension .    event
I need help with SwagBucks.com    goods
I really need to get a new tattoo before I explode    goods
I think I'll go to take a nap , BYE    trifle
I need ideas on going on holiday ! Where can 2 people go for £750 in total ? Any suggestions ?    travel
I want mango juice noww    food
I think I should cook supper . Brownies are an acceptable dinner in this house , and I just bought everything I need to bake at least 3 pans .    food
I don't know why I want you so ' Cause I don't need the heart break    trifle
I just can't understand the enjoyment of most mainstream rap .    non-intent
I need a shower ... but I'm too tired . Waiting up to see if I can see the finalists for the video contest .    trifle
I need food - preferably something with a lot of meat ... Mmmmm ... meat good ...    food
i need to get an acoustic guitar .. hmm anyone know where to get a pretty one for cheap ?    goods
I will finally be a student .....    career
i want to do something tonight !    trifle
i was gonna finish buttttttttttt naaaaaaa    non-intent
I WILL get my to-do list done today ! But I'd like so much better if someone else would do it for me . #fb    non-intent
I should be able to rest in my home and park by my damn house    non-intent
I love movies . Maybe I should study cinema . ahah that'd be cool but I won't .    event
I need to learn to dance and take it to the streets .    career
I really don't like her    trifle
I just want to be able to walk !! Please !!! Headed to the doctor now . Hope everything is ok !    goods
I can't believe they traded cliff lee !!! bye bye indians .. I hope you win the ring lee !!!    non-intent
I think I will go on STRIKE Tuesday in support of a Free Iran ! STOP that illegal murderous government FREE IRAN #Iranelection Iran #Neda    trifle
i might as well talk to him    trifle
I think ima watch true blood again , I kinda didn't understand it    non-intent
I think I wanna rewind about one week back and get rid of the fuck folks    trifle
I like to keep things fresh .    trifle
I have to say I hate the whole late-night construction-so-lets-close-all-lanes-traffic that they have up here . I swear its irritating    non-intent
I need some YUMMY food for dinner/tea ! Oh I want a curry !    food
I could break your heart any day of the week .    trifle
I want to buy another Twitter application ... what's the best app for the #iPhone ??    goods
I need to get a haircut today    goods
i need to get the day going . ugh    trifle
I really enjoy a good cup of coffee in the morning .    travel
I am just trying to figure this thing out bc I really don't know what the what I'm doing ... LOLOL    non-intent
i really don't think MJ is dead . its just too weird 2 b true .    non-intent
I have to get organized !    trifle
I will refrain from saying anything negative about the sorts of people flodding into the stadium for the rally    trifle
i am about to take senior pictures ! and i am a little nervous for some odd reason .    event
